ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
2048
ITEM: BOX BOUNDS pp pp pp
-0.0410052 29.153
-0.0410052 29.153
-0.0410052 29.153
ITEM: ATOMS id type x y z 
8 1 3.55068 1.72131 1.83732 
35 1 1.7895 3.67764 1.75398 
258 1 1.88811 1.71745 3.60568 
293 1 3.57699 3.65203 3.66982 
289 1 -0.0285954 3.62619 3.55493 
37 1 3.56889 3.58761 0.00326187 
5 1 3.73724 -0.0190682 0.0132492 
12 1 7.31454 1.75635 1.91169 
39 1 5.31852 3.57507 1.80172 
262 1 5.28625 1.6629 3.46405 
297 1 7.22597 3.66461 3.63402 
7 1 5.46872 0.0291755 1.73897 
41 1 7.19234 3.5509 -0.0276878 
6 1 5.46656 1.8403 0.0171996 
16 1 10.8174 1.75297 1.79076 
43 1 9.08013 3.68273 1.83779 
266 1 9.05038 1.70387 3.657 
301 1 10.9255 3.39294 3.74155 
10 1 9.04002 1.85157 -0.0361542 
11 1 9.01763 -0.00553426 1.75073 
20 1 14.6198 1.60629 1.88991 
47 1 12.6627 3.56557 1.73525 
51 1 16.4051 3.62987 1.76683 
270 1 12.6783 1.74627 3.52685 
274 1 16.4392 1.74092 3.62247 
305 1 14.4714 3.60773 3.55557 
49 1 14.6059 3.6578 0.159416 
15 1 12.6519 0.00928521 1.70785 
24 1 18.3619 1.84715 1.70259 
55 1 20.1789 3.62732 1.81582 
278 1 20.1255 1.60004 3.69677 
309 1 18.2464 3.50361 3.50531 
28 1 21.8001 1.67801 1.80309 
59 1 23.5459 3.67089 1.84906 
282 1 23.5958 1.5903 3.56862 
313 1 21.7374 3.4859 3.71419 
26 1 23.7152 1.81729 0.00474339 
4 1 29.0936 1.70488 1.81828 
32 1 25.414 1.78079 1.78144 
63 1 27.3341 3.61088 1.83087 
286 1 27.3302 1.71376 3.49782 
317 1 25.3993 3.60776 3.53281 
285 1 25.4851 -0.0190543 3.65182 
61 1 25.3875 3.68248 0.0472513 
30 1 27.1683 1.70495 0.0545999 
40 1 3.52827 5.44728 1.90483 
67 1 1.86318 7.36714 1.85156 
290 1 1.69604 5.43261 3.59609 
325 1 3.5616 7.16388 3.63793 
36 1 0.0543258 5.49303 1.711 
69 1 3.65231 7.10353 0.0697944 
34 1 1.61968 5.546 -0.0200493 
44 1 7.39713 5.28831 1.87155 
71 1 5.45673 7.11697 1.80635 
294 1 5.52131 5.31386 3.61901 
329 1 7.17891 7.27141 3.55927 
38 1 5.42067 5.45247 0.0321323 
48 1 10.8752 5.31631 1.74821 
75 1 9.12405 7.3254 1.73485 
298 1 9.20188 5.3749 3.59554 
333 1 11.0049 7.18452 3.54776 
52 1 14.576 5.48099 1.81367 
79 1 12.7176 7.27675 1.6549 
83 1 16.3047 7.3488 1.83701 
302 1 12.645 5.39609 3.52095 
306 1 16.359 5.46188 3.69821 
337 1 14.3921 7.26179 3.57914 
46 1 12.6663 5.42232 0.00459823 
81 1 14.4148 7.38964 -0.0302115 
50 1 16.3701 5.37439 -0.00809457 
56 1 18.0914 5.60474 1.81945 
87 1 20.0226 7.20732 1.887 
310 1 20.0652 5.42395 3.61775 
341 1 18.2452 7.28634 3.6842 
54 1 19.9298 5.33413 -0.0118003 
60 1 21.82 5.48396 1.85237 
91 1 23.67 7.26372 1.81221 
314 1 23.6269 5.3603 3.63319 
345 1 21.8825 7.21664 3.78694 
58 1 23.6463 5.48976 -0.0367416 
89 1 21.7375 7.14947 0.0597279 
321 1 28.9725 7.30444 3.68711 
65 1 29.0964 7.32148 0.0382101 
64 1 25.4227 5.49701 1.93323 
95 1 27.3256 7.29851 1.65267 
318 1 27.3556 5.43599 3.65279 
349 1 25.5119 7.3562 3.49595 
62 1 27.3159 5.3384 0.0441244 
72 1 3.65706 9.05929 1.75938 
99 1 1.86343 10.7902 1.96043 
322 1 1.68548 9.05559 3.66109 
357 1 3.67187 10.9702 3.54231 
66 1 1.68772 9.09955 0.0248487 
68 1 -0.0370127 9.09495 1.88673 
101 1 3.71034 10.7606 0.0862611 
76 1 7.22284 9.06132 1.82843 
103 1 5.53336 10.8756 1.81503 
326 1 5.50782 9.01721 3.6835 
361 1 7.35232 10.9727 3.55368 
80 1 10.9231 9.25836 1.76735 
107 1 9.02551 10.8906 1.91978 
330 1 9.21286 9.0215 3.52444 
365 1 10.9783 11.0242 3.64369 
109 1 10.8991 10.9422 -0.00925826 
84 1 14.5298 9.18089 1.76957 
111 1 12.7022 11.1049 1.8557 
115 1 16.388 10.793 1.75879 
334 1 12.6186 9.06005 3.48653 
338 1 16.343 9.13525 3.72289 
369 1 14.4909 10.8995 3.64449 
82 1 16.4308 8.98958 -0.04033 
78 1 12.7057 9.12021 -0.00442127 
88 1 18.1975 8.9772 1.81913 
119 1 19.9944 10.8092 1.69512 
342 1 19.9756 9.08804 3.61368 
373 1 18.3639 10.8542 3.62784 
117 1 18.1398 10.8738 -0.0179991 
92 1 21.6992 8.97878 1.85457 
123 1 23.5334 10.9256 1.69204 
346 1 23.5983 9.1645 3.68606 
377 1 21.8135 10.9987 3.49014 
90 1 23.6138 9.04314 0.0458974 
353 1 29.0772 11.0537 3.45234 
96 1 25.4814 9.08163 1.76583 
127 1 27.2503 10.8345 1.77835 
350 1 27.1112 9.14432 3.60712 
381 1 25.3172 10.9355 3.4253 
97 1 29.0338 10.9173 0.0227413 
125 1 25.5879 10.9779 0.0177416 
104 1 3.58348 12.6354 1.66477 
